Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13
1,1,1,1,1,1,8760,8760,1,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,2,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,3,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,4,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,5,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,6,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,7,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,8,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,9,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,10,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,11,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,12,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,13,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,14,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,15,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,16,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
,,,,,,,,17,1048.637739,1069.604194,1069.065564,1069.767007,1035.499198,1033.137485,1031.633762,1084.564037,1034.464164,1084.057776,1066.171535,1025.811789,1134.168298
